"Petits points et multiplication complexe","M. Carrizosa","","International Mathematics Research Notices","","2009","2009","16","3016","3097","","","","10.1093/imrn/rnp042","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190000","","","","","","","","","","","","OUP","IEEE Conferences"
"Imperfect Mimesis of Weyl Sums","J. Brüdern; D. Daemen","; ","International Mathematics Research Notices","","2009","2009","16","3112","3126","","","","10.1093/imrn/rnp044","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190002","","","","","","","","","","","","OUP","IEEE Conferences"
"A Sharp Inequality for the Strichartz Norm","E. Carneiro","","International Mathematics Research Notices","","2009","2009","16","3127","3145","","","","10.1093/imrn/rnp045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190003","","","","","","","","","","","","OUP","IEEE Conferences"
"Editors","","","International Mathematics Research Notices","","2009","2009","16","ii","ii","","","","10.1093/imrn/rnp122","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190004","","","","","","","","","","","","OUP","IEEE Conferences"
"Contents","","","International Mathematics Research Notices","","2009","2009","16","iii","iii","","","","10.1093/imrn/rnp123","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190005","","","","","","","","","","","","OUP","IEEE Conferences"
"Subscriptions","","","International Mathematics Research Notices","","2009","2009","16","i","i","","","","10.1093/imrn/rnp124","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190006","","","","","","","","","","","","OUP","IEEE Conferences"
"Front matter","","","International Mathematics Research Notices","","2009","2009","16","1","2","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190007","","","","","","","","","","","","OUP","IEEE Conferences"
"Contents","","","International Mathematics Research Notices","","2009","2009","16","1","1","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190008","","","","","","","","","","","","OUP","IEEE Conferences"
"Back matter","","","International Mathematics Research Notices","","2009","2009","16","1","2","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190009","","","","","","","","","","","","OUP","IEEE Conferences"
"A Local Energy Estimate on Kerr Black Hole Backgrounds","D. Tataru; M. Tohaneanu","; ","International Mathematics Research Notices","","2011","2011","2","248","292","","","","10.1093/imrn/rnq069","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190011","","","","","","","","","","","","OUP","IEEE Conferences"
"Right Coideal Subalgebras of the Borel Part of a Quantized Enveloping Algebra","I. Heckenberger; S. Kolb","; ","International Mathematics Research Notices","","2011","2011","2","419","451","","","","10.1093/imrn/rnq074","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190013","","","","","","","","","","","","OUP","IEEE Conferences"
"Classifying Semi-Free Hamiltonian S<sup>1</sup>-Manifolds","E. González","","International Mathematics Research Notices","","2011","2011","2","387","418","","","","10.1093/imrn/rnq076","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190015","","","","","","","","","","","","OUP","IEEE Conferences"
"On the Reduction of Points on Abelian Varieties and Tori","A. Perucca","","International Mathematics Research Notices","","2011","2011","2","293","308","","","","10.1093/imrn/rnq080","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190016","","","","","","","","","","","","OUP","IEEE Conferences"
"Uniform Asymptotics for Discrete Orthogonal Polynomials with Respect to Varying Exponential Weights on a Regular Infinite Lattice","P. Bleher; K. Liechty","; ","International Mathematics Research Notices","","2011","2011","2","342","386","","","","10.1093/imrn/rnq081","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190017","","","","","","","","","","","","OUP","IEEE Conferences"
"Contents Page","","","International Mathematics Research Notices","","2011","2011","2","NP","NP","","","","10.1093/imrn/rnr004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190019","","","","","","","","","","","","OUP","IEEE Conferences"
"Editorial Board","","","International Mathematics Research Notices","","2011","2011","2","NP","NP","","","","10.1093/imrn/rnr005","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190020","","","","","","","","","","","","OUP","IEEE Conferences"
"Subscription Page","","","International Mathematics Research Notices","","2011","2011","2","NP","NP","","","","10.1093/imrn/rnr006","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190021","","","","","","","","","","","","OUP","IEEE Conferences"
"Front matter","","","International Mathematics Research Notices","","2011","2011","2","1","2","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190022","","","","","","","","","","","","OUP","IEEE Conferences"
"Contents","","","International Mathematics Research Notices","","2011","2011","2","1","1","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190023","","","","","","","","","","","","OUP","IEEE Conferences"
"Back matter","","","International Mathematics Research Notices","","2011","2011","2","1","2","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190024","","","","","","","","","","","","OUP","IEEE Conferences"
"Convergence of Compact Ricci Solitons","B. Weber","","International Mathematics Research Notices","","2011","2011","1","96","118","","","","10.1093/imrn/rnq055","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190026","","","","","","","","","","","","OUP","IEEE Conferences"
"Distinguished Generic Representations of GL(n) over p-adic Fields","N. Matringe","","International Mathematics Research Notices","","2011","2011","1","74","95","","","","10.1093/imrn/rnq058","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190027","","","","","","","","","","","","OUP","IEEE Conferences"
"Deformations of Orbifolds with Noncommutative Linear Poisson Structures","G. Halbout; J. Oudom; X. Tang","; ; ","International Mathematics Research Notices","","2011","2011","1","1","39","","","","10.1093/imrn/rnq065","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190031","","","","","","","","","","","","OUP","IEEE Conferences"
"Contents Page","","","International Mathematics Research Notices","","2011","2011","1","NP","NP","","","","10.1093/imrn/rnq289","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190034","","","","","","","","","","","","OUP","IEEE Conferences"
"Editorial Board","","","International Mathematics Research Notices","","2011","2011","1","NP","NP","","","","10.1093/imrn/rnq290","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190035","","","","","","","","","","","","OUP","IEEE Conferences"
"Subscription Page","","","International Mathematics Research Notices","","2011","2011","1","NP","NP","","","","10.1093/imrn/rnq291","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190036","","","","","","","","","","","","OUP","IEEE Conferences"
"Front matter","","","International Mathematics Research Notices","","2011","2011","1","1","2","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190037","","","","","","","","","","","","OUP","IEEE Conferences"
"Contents","","","International Mathematics Research Notices","","2011","2011","1","1","1","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190038","","","","","","","","","","","","OUP","IEEE Conferences"
"Contents","","","International Mathematics Research Notices","","2011","2011","1","1","1","","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190038","","","","","","","","","","","","OUP","IEEE Conferences"
