"Sliding-Mode Sensorless Control of PMSM With Inverter Nonlinearity Compensation","Y. Wang; Y. Xu; J. Zou","School of Electrical Engineering, Harbin Institute of Technology, Harbin, China; School of Electrical Engineering, Harbin Institute of Technology, Harbin, China; School of Electrical Engineering, Harbin Institute of Technology, Harbin, China","IEEE Transactions on Power Electronics","","2019","34","10","10206","10220","","","","10.1109/TPEL.2018.2890564","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8599000","Inverter nonlinearity identification and compensation;restricted total least squares (RTLS);robust adaptive sliding-mode observer (SMO);sensorless control;small-signal model","Switches;Distortion;Adaptation models;Power harmonic filters;Inverters;Observers;Rotors","adaptive control;angular velocity control;electric potential;invertors;machine control;observers;permanent magnet motors;position control;robust control;rotors;sensorless machine control;synchronous machines;synchronous motor drives;synchronous motors;variable structure systems","inverter nonlinearity compensation;robust adaptive sliding-mode observer;SMO;surface permanent-magnet synchronous machine model;SPMSM;rotor reference frame;online inverter nonlinearity identification;compensation method;adaptive law;back electromotive forces;smaller gains;switching functions;small-signal model;sensorless scheme;nonlinear characteristics;switching devices;rotor position estimation error;estimated voltage distortion;estimated amplitude;sensorless control scheme","","4","","","01 January 2019","","","IEEE","IEEE Conferences"
"Nonlinear Robust <inline-formula><tex-math notation="LaTeX">$H_{\infty }$</tex-math></inline-formula> Control for Spacecraft Body-Fixed Hovering Around Noncooperative Target Via Modified <inline-formula><tex-math notation="LaTeX">$\theta -D$</tex-math></inline-formula> Method","Y. Huang; Y. Jia","Beihang University, Beijing, China; Beihang University, Beijing, China","IEEE Transactions on Aerospace and Electronic Systems","","2019","55","5","2451","2463","","","","10.1109/TAES.2018.2890351","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8599001"," $H_{\infty }$  performance;modified  $\theta \text{--}D$  method;noncooperative target;robust control;spacecraft hovering","Space vehicles;Mathematical model;Orbits;Aerodynamics;Attitude control;Aerospace electronics","approximation theory;closed loop systems;control system synthesis;Lyapunov methods;nonlinear control systems;partial differential equations;Riccati equations;robust control;space vehicles;uncertain systems","spacecraft;noncooperative target;Hamilton-Jacobi- Isaacs inequality;HJI inequality;closed-loop system;numerical approximation approach;modified θ-D method;algebraic Riccati inequality;partial differential inequality;nonlinear robust H∞ control;Lyapunov equations","","","","","01 January 2019","","","IEEE","IEEE Conferences"
"The Demonstrations of Flux Pinning for Space Docking of CubeSat Sized Spacecraft in Simulated Microgravity Conditions","M. Zhang; M. Ye; P. Liu; Z. Qi; Z. Hong; M. Wang; G. Chen; F. Deng; L. Zhang","School of Mechanical Engineering, Shijiazhuang Tiedao University, Shijiazhuang, China; Department of Foreign Language, Shijiazhuang Tiedao University, Shijiazhuang, China; School of Mechanical Engineering, Shijiazhuang Tiedao University, Shijiazhuang, China; School of Mechanical Engineering, Shijiazhuang Tiedao University, Shijiazhuang, China; School of Mechanical Engineering, Shijiazhuang Tiedao University, Shijiazhuang, China; School of Mechanical Engineering, Shijiazhuang Tiedao University, Shijiazhuang, China; School of Mechanical Engineering, Shijiazhuang Tiedao University, Shijiazhuang, China; School of Mechanical Engineering, Shijiazhuang Tiedao University, Shijiazhuang, China; Research of National Defense Communication, Shijiazhuang Tiedao University, Shijiazhuang, China","IEEE Transactions on Applied Superconductivity","","2019","29","6","1","16","","","","10.1109/TASC.2018.2890706","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8599002","Connection characteristics;docking frequency response;docking time response;flux pinned docking mechanism (FPDM);half-power method","High-temperature superconductors;Flux pinning;Cooling;Space vehicles;Force;Magnetic fields;Damping","aerospace computing;aerospace engineering;aerospace propulsion;damping;fast Fourier transforms;flux pinning;space vehicles","simulated docking experimental platform;space docking experiment;flux pinned docking mechanism;docking principle;simulated microgravity conditions;CubeSat sized spacecraft;flux pinning;time docking;single docking experiment;dynamic connection characteristics;docking frequency response;real-time tracking software TEMA;FPDM;dynamic docking time response;SDEP","","","","","01 January 2019","","","IEEE","IEEE Conferences"
"Stimulation and Artifact-Suppression Techniques for <italic>In Vitro</italic> High-Density Microelectrode Array Systems","A. Shadmani; V. Viswam; Y. Chen; R. Bounik; J. Dragas; M. Radivojevic; S. Geissler; S. Sitnikov; J. Müller; A. Hierlemann","Bio Engineering Laboratory, Department of Biosystems Science and Engineering, ETH Zurich, Basel, Switzerland; Bio Engineering Laboratory, Department of Biosystems Science and EngineeringETH Zurich; Department of Biosystems Science and EngineeringETH Zurich; Bio Engineering Laboratory, Department of Biosystems Science and EngineeringETH Zurich; Bio Engineering Laboratory, Department of Biosystems Science and EngineeringETH Zurich; Bio Engineering Laboratory, Department of Biosystems Science and EngineeringETH Zurich; Bio Engineering Laboratory, Department of Biosystems Science and EngineeringETH Zurich; Bio Engineering Laboratory, Department of Biosystems Science and EngineeringETH Zurich; Department of Biosystems Science and EngineeringETH Zurich; Bio Engineering Laboratory, Department of Biosystems Science and EngineeringETH Zurich","IEEE Transactions on Biomedical Engineering","","2019","66","9","2481","2490","","","","10.1109/TBME.2018.2890530","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8599003","CMOS;high-density microelectrode array (HD-MEA);extracellular recording and stimulation;current/voltage controlled stimulation;pseudo-resistor;artifact suppression;soft reset;pole-shifting","Voltage control;Switches;Neurons;Capacitors;Microelectrodes;Electrical stimulation","biomedical electrodes;current conveyors;electric current control;feedback;feedback amplifiers;high-pass filters;microelectrodes;operational amplifiers;voltage control","recording circuits;stimulation artifacts;electrical artifacts;corresponding recording amplifiers;high-pass corner frequencies;stimulation site;stimulation buffer;stimulation voltage;voltage-only controlled mode;local common-mode feedback operational transconductance amplifier;high-capacitive loads;positive current conveyor;adjustable output currents;low-current mode;high-current mode;artifact suppression technique;adjustable high-pass cut-off filtering;in vitro high-density microelectrode array systems;pole-shifting technique;controlled output current;novel voltage stimulation buffers;artifact-suppression techniques;time 150.0 mus;current 30.0 muA;current 300.0 muA","","","","","01 January 2019","","","IEEE","IEEE Conferences"
"A Low-Power, Inductorless Wideband Cryogenic Amplifier for Superconducting Nanowire Single Photon Detector","L. He; L. Li; X. Niu; H. Xia; M. Xie; X. Wu; L. Zhang; L. Kang; Z. Wang","School of Information Science and Engineering, Southeast University, Nanjing, China; School of Information Science and Engineering, Southeast University, Nanjing, China; School of Information Science and Engineering, Southeast University, Nanjing, China; School of Information Science and Engineering, Southeast University, Nanjing, China; School of Information Science and Engineering, Southeast University, Nanjing, China; School of Information Science and Engineering, Southeast University, Nanjing, China; School of Information Science and Engineering, Southeast University, Nanjing, China; School of Information Science and Engineering, Southeast University, Nanjing, China; School of Information Science and Engineering, Southeast University, Nanjing, China","IEEE Transactions on Applied Superconductivity","","2019","29","6","1","6","","","","10.1109/TASC.2018.2890700","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8599005","Cryogenic amplifier;low power;superconducting nanowire single photon detectors;wideband","Cryogenics;Transistors;Capacitors;Wideband;Silicon germanium","BiCMOS integrated circuits;bipolar MMIC;elemental semiconductors;Ge-Si alloys;low-power electronics;microwave amplifiers;nanowires;silicon;superconducting photodetectors;wideband amplifiers","silicon area;SiGe BiCMOS technology;low-power wideband cryogenic amplifier;superconducting nanowire single photon detector;inductorless wideband cryogenic amplifier;amplifier core;modified Cherry-Hooper amplifier topology;low power consumption;temperature 4.2 K;power 4.0 mW;bandwidth 3.4 GHz;size 0.13 mum;size 0.075 mm;SiGe;Si","","","","","01 January 2019","","","IEEE","IEEE Conferences"
"Impedance-Based Gaussian Processes for Modeling Human Motor Behavior in Physical and Non-Physical Interaction","J. R. Medina; H. Börner; S. Endo; S. Hirche","Franka Emika GmbH; Department of Electrical and Computer Engineering, Chair of Information-oriented Control, Technical University of Munich, Munich, Germany; Department of Electrical and Computer EngineeringChair of Information-oriented ControlTechnical University of Munich; Department of Electrical and Computer EngineeringChair of Information-oriented ControlTechnical University of Munich","IEEE Transactions on Biomedical Engineering","","2019","66","9","2499","2511","","","","10.1109/TBME.2018.2890710","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8599006","Bayesian modeling;Gaussian processes;human motor control;human motor intention;human robot interaction;impedance;kernel structure","Impedance;Trajectory;Task analysis;Robots;Gaussian processes;Correlation;Motor drives","Bayes methods;Gaussian processes;human-robot interaction;regression analysis","nonphysical interaction;human motor intention;human-robot interaction tasks;generic stochastic process;neuroscientifically supported model;human motor control;a priori human arm impedance knowledge;latent desired human trajectory;intention estimation capabilities;impedance-based GP model;human motor behavior;impedance-based Gaussian processes;Bayesian setting","","","","","01 January 2019","","","IEEE","IEEE Conferences"
"Analytical Calculation of Proximity-Effect Resistance for Planar Coil With Litz Wire and Ferrite Plate in Inductive Power Transfer","M. Lu; K. D. T. Ngo","Monolithic Power Systems, Inc., San Jose, CA, USA; Bradley Department of Electrical and Computer Engineering, Center for Power Electronics Systems, Virginia Tech, Blacksburg, VA, USA","IEEE Transactions on Industry Applications","","2019","55","3","2984","2991","","","","10.1109/TIA.2018.2890366","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8599007","Electric vehicle (EV);ferrite;inductive power transfer (IPT);litz wire;method of image;planar coil;proximity effect","Ferrites;Windings;Magnetic fields;Wires;Immune system;Mathematical model;Electrical resistance measurement","coils;inductive power transmission;magnetic fields;skin effect;windings","analytical calculation;proximity-effect resistance;ferrite plate;inductive power transfer applications;winding;proximity-effect loss;magnetic field;field calculation;planar coils;Litz wire;optimization process;numerical methods;Ampere's law;Biot-Savart law;size 0.1 mm;size 100.0 mm;size 5.0 mm","","","","","01 January 2019","","","IEEE","IEEE Conferences"
"Multilevel Features Convolutional Neural Network for Multifocus Image Fusion","Y. Yang; Z. Nie; S. Huang; P. Lin; J. Wu","School of Information Technology, Jiangxi University of Finance and Economics, Nanchang, China; School of Information Technology, Jiangxi University of Finance and Economics, Nanchang, China; School of Software and Communication Engineering, Jiangxi University of Finance and Economics, Nanchang, China; College of Biomedical Engineering, South-Central University for Nationalities, Wuhan, China; School of Information Technology, Jiangxi University of Finance and Economics, Nanchang, China","IEEE Transactions on Computational Imaging","","2019","5","2","262","273","","","","10.1109/TCI.2018.2889959","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8599008","Multifocus image fusion;convolutional neural network;multi-level features;decision map","Image fusion;Convolution;Convolutional neural networks;Transforms;Computer architecture;Image segmentation;Level measurement","convolutional neural nets;feature extraction;Gaussian processes;image filtering;image fusion;image resolution;learning (artificial intelligence)","1 × 1 convolution module;source images;initial focus map;final decision map;all-in-focus image;multifocus image fusion;single clean image;MLFCNN model;weighted-sum strategy;Gaussian filter;multilevel features convolutional neural network architecture","","3","","","01 January 2019","","","IEEE","IEEE Conferences"
"Increasing Accuracy of Optimal Surfaces Using Min-Marginal Energies","J. Petersen; A. M. Arias-Lorza; R. Selvan; D. Bos; A. van der Lugt; J. H. Pedersen; M. Nielsen; M. de Bruijne","Department of Computer Science, University of Copenhagen, Copenhagen, Denmark; Departments of Radiology and Medical Informatics, Biomedical Imaging Group Rotterdam, Erasmus MC, Rotterdam, The Netherlands; Department of Computer Science, University of Copenhagen, Copenhagen, Denmark; Department of Radiology, Erasmus MC, Rotterdam, The Netherlands; Department of Radiology, Erasmus MC, Rotterdam, The Netherlands; Department of Thoracic Surgery, Rigshospitalet, University of Copenhagen, Copenhagen, Denmark; Department of Computer Science, University of Copenhagen, Copenhagen, Denmark; Department of Computer Science, University of Copenhagen, Copenhagen, Denmark","IEEE Transactions on Medical Imaging","","2019","38","7","1559","1568","","","","10.1109/TMI.2018.2890386","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8599009","Segmentation;graph algorithms;airways;carotid arteries","Biomedical imaging;Rough surfaces;Surface roughness;Labeling;Uncertainty;Image segmentation;Memory management","computational complexity;graph theory;medical image processing","surface estimation;n-ary ordered labeling problem;medical imaging;low order polynomial time;min-marginal energies;dynamic graph cuts;optimal surface methods","","","","","01 January 2019","","","IEEE","IEEE Conferences"
"Multi-feature based network revealing the structural abnormalities in autism spectrum disorder","W. Zheng; T. Eilamstock; T. Wu; A. Spagna; C. Chen; B. Hu; J. Fan","School of Information Science & Engineering, Lanzhou University, 12426 Lanzhou, Gansu China 730000 (e-mail: zhengwh14@lzu.edu.cn); Department of Psychology, Queens College, 14781 Flushing, New York United States (e-mail: Tehila.Eilamstock@qc.cuny.edu); Department of Psychology, Queens College, 14781 Flushing, New York United States (e-mail: tingting.wu@qc.cuny.edu); Department of Psychology, Columbia University, New York City, New York United States (e-mail: Alfredo.Spagna@qc.cuny.edu); Department of Computer Science, Queens College, 14781 Flushing, New York United States (e-mail: chao.chen@qc.cuny.edu); School of Information Science and Engineering, Lanzhou Uiversity, Lanzhou, Gansu Province China 730000 (e-mail: bh@lzu.edu.cn); Department of Psychology, Queens College, 14781 Flushing, New York United States (e-mail: jin.fan@qc.cuny.edu)","IEEE Transactions on Affective Computing","","2019","PP","99","1","1","","","","10.1109/TAFFC.2018.2890597","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8599010","Autism Spectrum Disorder (ASD);social-emotional functioning;multi-feature-based network (MFN);diagnostic biomarker","Feature extraction;Autism;Support vector machines;Medical diagnostic imaging;Surface morphology;Surface reconstruction","","","","1","","","01 January 2019","","","IEEE","IEEE Conferences"
