"Clustering Analysis for Internet of Spectrum Devices: Real-World Data Analytics and Applications","J. Sun; J. Wang; J. Chen; G. Ding; F. Lin","College of Communications Engineering, Army Engineering University, Nanjing, 210007, China.; College of Communications Engineering, Army Engineering University, Nanjing, 210007, China.; College of Communications Engineering, Army Engineering University, Nanjing, 210007, China.; College of Communications Engineering, Army Engineering University, Nanjing, 210007, China, and also with the National Mobile Communications Research Laboratory, Southeast University, Nanjing 210096, China.; College of Communications Engineering, Army Engineering University, Nanjing, 210007, China.","IEEE Internet of Things Journal","","2020","PP","99","1","1","","","","10.1109/JIOT.2020.2970791","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8990000","Spectrum clustering;spectrum inference;cognitive radio;data analytics.","","","","","","","","10 February 2020","","","IEEE","IEEE Conferences"
"Dynamically Reconfigurable Tactile Sensor for Robotic Manipulation","T. M. Huh; H. Choi; S. Willcox; S. Moon; M. R. Cutkosky","Center for Design Research, Stanford University, Stanford, CA, USA; Center for Design Research, Stanford University, Stanford, CA, USA; Center for Design Research, Stanford University, Stanford, CA, USA; Center for Design Research, Stanford University, Stanford, CA, USA; Center for Design Research, Stanford University, Stanford, CA, USA","IEEE Robotics and Automation Letters","","2020","5","2","2562","2569","","","","10.1109/LRA.2020.2972881","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8990001","Force and tactile sensing;perception for grasping and manipulation;dexterous manipulation","","","","","","","","10 February 2020","","","IEEE","IEEE Conferences"
"Interpretable and Accurate Convolutional Neural Networks for Human Activity Recognition","E. Kim","Seoul Korea (the Republic of) 08826 (e-mail: eunjikim@dm.snu.ac.kr)","IEEE Transactions on Industrial Informatics","","2020","PP","99","1","1","","","","10.1109/TII.2020.2972628","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8990002","Wearable Sensors;Human Activity Recognition;Interpretability;Convolutional Neural Networks;Feature Selection;Sensor Signal Selection;Spatial Group Lasso;Regularization","","","","","","","","10 February 2020","","","IEEE","IEEE Conferences"
"Tremor-Active Controller for Dielectric Elastomer-Based Pathological Tremor Suppression","C. R. Kelley; J. L. Kauffman","Mechanical and Aerospace Engineering, University of Central Florida, 6243 Orlando, Florida United States 32816 (e-mail: chriskelley9@knights.ucf.edu); Mechanical and Aerospace Engineering, University of Central Florida, 6243 Orlando, Florida United States 32816 (e-mail: JLKauffman@ucf.edu)","IEEE/ASME Transactions on Mechatronics","","2020","PP","99","1","1","","","","10.1109/TMECH.2020.2972884","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8990003","artificial muscles;assistive device;dielectric elastomers;impedance control;soft robotics;tremor suppression","","","","","","","","10 February 2020","","","IEEE","IEEE Conferences"
"A Secure Hybrid Dynamic State Estimation Approach for Power Systems Under False Data Injection Attacks","Z. Kazemi; A. A. Safavi; F. Naseri; L. Urbas; P. Setoodeh","Shiraz Iran (the Islamic Republic of) 0098 (e-mail: z.kazemi@shirazu.ac.ir); School of Electrical and Computer, Shiraz University, Shiraz Iran, Islamic Republic of 7134739664 (e-mail: safavi@shirazu.ac.ir); Shiraz Iran (the Islamic Republic of) 0098 (e-mail: f.naseri@shirazu.ac.ir); Institute of Automation, TU Dresden, Dresden Germany 01062 (e-mail: leon.urbas@tu-dresden.de); Shiraz University, 37551 Shiraz, Fars Iran (the Islamic Republic of) 71946-84636 (e-mail: setoodeh@ieee.org)","IEEE Transactions on Industrial Informatics","","2020","PP","99","1","1","","","","10.1109/TII.2020.2972809","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8990004","Dynamic State Estimation;False Data Injection (FDI) attack;Phasor Measurement Unit (PMU)","","","","","","","","10 February 2020","","","IEEE","IEEE Conferences"
"Salient View Selection for Visual Recognition of Industrial Components","S. Kim; G. Choe; M. Park; I. S. Kweon","Korea Electronics Technology Institute (KETI), Seongnam, Republic of Korea; Samsung Research America (SRA), Plano, TX, USA; Korea Electronics Technology Institute (KETI), Seongnam, Republic of Korea; School of Electrical Engineering, KAIST, Daejeon, Republic of Korea","IEEE Robotics and Automation Letters","","2020","5","2","2506","2513","","","","10.1109/LRA.2020.2972886","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8990006","Salient view selection;robotic sssembly","","","","","","","","10 February 2020","","","IEEE","IEEE Conferences"
"Reconfigurable Intelligent Surfaces assisted Communications with Limited Phase Shifts: How Many Phase Shifts Are Enough?","H. Zhang; B. Di; L. Song; Z. Han","Electrical and Computer Engineering Department, University of Houston, 14743 Houston, Texas United States 77004 (e-mail: hongliang.zhang92@gmail.com); Peking University, 12465 Beijing, Beijing China 100871 (e-mail: diboya92@gmail.com); Electronics, Peking University, Beijing, Beijing China CB1 (e-mail: lingyang.song@pku.edu.cn); Electrical and Computer Engineering, University of Houston, Houston, Texas United States 77004 (e-mail: zhan2@uh.edu)","IEEE Transactions on Vehicular Technology","","2020","PP","99","1","1","","","","10.1109/TVT.2020.2973073","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8990007","Reconfigurable intelligent surfaces assisted communications;limited phase shifts;performance analysis","","","","","","","","10 February 2020","","","IEEE","IEEE Conferences"
"Quadrature Multiplexed Structured Illumination Imaging","C. Hu; S. Yang; M. Chen; H. Chen","Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China","IEEE Photonics Journal","","2020","12","2","1","8","","","","10.1109/JPHOT.2020.2972802","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8990008","Optical snapshot;imaging system","","","","","","","","10 February 2020","","","IEEE","IEEE Conferences"
"Water Spiral Dielectric Resonator Antenna for Generating Multimode OAM","Z. Yu; N. Guo; J. Fan","School of communication and information engineering, Xian University of Posts and Telecommunications, Xian 710071, China (e-mail: zhongyu@mail.xjtu.edu.cn); School of communication and information engineering, Xian University of Posts and Telecommunications, Xian 710071 (e-mail: 867189144@qq.com); School of communication and information engineering, Xian University of Posts and Telecommunications, Xian 710071 (e-mail: jiulunf@xiyou.edu.cn)","IEEE Antennas and Wireless Propagation Letters","","2020","PP","99","1","1","","","","10.1109/LAWP.2020.2972969","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8990009","dielectric resonator antenna;orbital angular momentum(OAM);vortex wave","","","","","","","","10 February 2020","","","IEEE","IEEE Conferences"
"Demountable Coaxial Clamped Joint For ITER Central Solenoid Module Final Test Program","Z. Piec; N. Martovetsky; K. Khumthong; A. Langhorn; S. Lloyd; K. Schaubel; J. Sheeron; J. Smith","General Atomics, PO Box 85608, San Diego, California 92186, USA (Email: pieczs@gat.com); General Atomics, PO Box 85608, San Diego, California 92186, USA; General Atomics, PO Box 85608, San Diego, California 92186, USA; General Atomics, PO Box 85608, San Diego, California 92186, USA; General Atomics, PO Box 85608, San Diego, California 92186, USA; General Atomics, PO Box 85608, San Diego, California 92186, USA; General Atomics, PO Box 85608, San Diego, California 92186, USA; General Atomics, PO Box 85608, San Diego, California 92186, USA","IEEE Transactions on Applied Superconductivity","","2020","PP","99","1","1","","","","10.1109/TASC.2020.2972508","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8990010","Superconducting Coils;coaxial joints;Indium;resistance;Cable in conduit conductor;ITER;4.5K test facility;Nb3Sn;NbTi","","","","","","","","10 February 2020","","","IEEE","IEEE Conferences"
"Learning Natural Locomotion Behaviors for Humanoid Robots Using Human Bias","C. Yang; K. Yuan; S. Heng; T. Komura; Z. Li","University of Edinburgh, Edinburgh, U.K.; University of Edinburgh, Edinburgh, U.K.; Harbin Institute of Technology, Nangang, Harbin, China; University of Edinburgh, Edinburgh, U.K.; University of Edinburgh, Edinburgh, U.K.","IEEE Robotics and Automation Letters","","2020","5","2","2610","2617","","","","10.1109/LRA.2020.2972879","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8990011","Deep learning in robotics and automation;humanoid and bipedal locomotion;learning from demonstration","","","","","","","","10 February 2020","","","IEEE","IEEE Conferences"
"Short-term Forecasting of Heat Demand of Buildings for Efficient and Optimal Energy Management Based on Integrated Machine Learning Models","A. T. Eseye; M. Lehtonen","Department of Electrical Engineering and Automation, Aalto University, 174277 Espoo Finland 02150 (e-mail: abinet.eseye@aalto.fi); Department of Electrical Engineering and Automation, Aalto University, 174277 Espoo Finland 02150 (e-mail: matti.lehtonen@aalto.fi)","IEEE Transactions on Industrial Informatics","","2020","PP","99","1","1","","","","10.1109/TII.2020.2970165","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8990012","Building;data-driven model;district heating;energy management;forecasting;machine learning;smart grid","","","","","","","","10 February 2020","","","IEEE","IEEE Conferences"
"Robotic Assembly of Rounded Parts With and Without Threads","A. Salem; Y. Karayiannidis","Division of Systems and Control, Dept. of Electrical Engineering, Chalmers University of Technology,, Gothenburg, Sweden; Division of Systems and Control, Dept. of Electrical Engineering, Chalmers University of Technology,, Gothenburg, Sweden","IEEE Robotics and Automation Letters","","2020","5","2","2467","2474","","","","10.1109/LRA.2020.2972878","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8990013","Assembly;force control;contact modeling","","","","","","","","10 February 2020","","","IEEE","IEEE Conferences"
"Shear, Torsion and Pressure Tactile Sensor via Plastic Optofiber Guided Imaging","D. Baimukashev; Z. Kappassov; H. A. Varol","Institute of Smart Systems and Artificial Intelligence, Nazarbayev University, Nur-Sultan, Republic of Kazakhstan; Department of Robotics and Mechatronics, Nazarbayev University, Nur-Sultan, Republic of Kazakhstan; Department of Robotics and Mechatronics, Nazarbayev University, Nur-Sultan, Republic of Kazakhstan","IEEE Robotics and Automation Letters","","2020","5","2","2618","2625","","","","10.1109/LRA.2020.2972876","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8990014","Deep learning in robotics and automation;force and tactile sensing;soft sensors and actuators","","","","","","","","10 February 2020","","","IEEE","IEEE Conferences"
