"A tool to coordinate tools","R. Bisiani; F. Lecouat; V. Ambriola","Dept. of Comput. Sci., Carnegie-Mellon Univ., Pittsburgh, PA, USA; Dept. of Comput. Sci., Carnegie-Mellon Univ., Pittsburgh, PA, USA; Dept. of Comput. Sci., Carnegie-Mellon Univ., Pittsburgh, PA, USA","IEEE Software","","1988","5","6","17","25","","","","10.1109/52.10000","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10000","","Software tools;Databases;Software testing;System testing;Software systems;Debugging;Error correction;Data engineering;Data structures;Monitoring","database management systems;expert systems;programming environments;software tools","programming environments;planning tool;expert-system planner;software development;Unix","","5","","","","","","IEEE","IEEE Conferences"
"Intelligent support for specifications transformation","J. Tsai; J. Ridge","Dept. of Electr. Eng. & Comput. Sci., Illinois Univ., Chicago, IL, USA; Dept. of Electr. Eng. & Comput. Sci., Illinois Univ., Chicago, IL, USA","IEEE Software","","1988","5","6","28","35","","","","10.1109/52.10001","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10001","","Expert systems;Engines;Software systems;Design methodology;Guidelines;Software performance;Decision making;Software design;Workstations;Computer aided software engineering","expert systems;formal specification;inference mechanisms;software tools","specifications transformation;expert system;Specification-Transformation Expert System;STES;requirements specifications;design specifications;software life cycle;dataflow diagrams;knowledge base;inference engine;heuristic guidelines;intelligent decision-making;OPS5;VAX11/780;Apollo DN 3000;CASE tool","","17","","","","","","IEEE","IEEE Conferences"
"Critiquing software specifications","S. Fickas; P. Nagarajan","Dept. of Comput. Sci., Oregon Univ., Eugene, OR, USA; ","IEEE Software","","1988","5","6","37","47","","","","10.1109/52.10002","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10002","","Software systems;Guidelines;Formal specifications;Humans;Buildings;Terminology;Production systems","expert systems;formal specification;program debugging;programming environments","expert-systems;specification debugging;Kate;problem specification;library database","","41","","","","","","IEEE","IEEE Conferences"
"Adding data abstraction to Fortran software","K. Miller; L. Morell; F. Stevens","Dept. of Comput. Sci., Coll. of William & Mary, Williamsburg, VA, USA; Dept. of Comput. Sci., Coll. of William & Mary, Williamsburg, VA, USA; Dept. of Comput. Sci., Coll. of William & Mary, Williamsburg, VA, USA","IEEE Software","","1988","5","6","50","58","","","","10.1109/52.10003","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10003","","Data structures;Encapsulation;Packaging;Programming profession;Educational institutions;Software libraries;Mathematical programming;Computer languages;Data systems;Algorithms","data structures;FORTRAN;software reusability;software tools","software reusability;software tools;Fortran Abstract Data;structured reuse;Fortran-callable software;data abstraction;information hiding;abstract data type","","3","","","","","","IEEE","IEEE Conferences"
"An abstract pretty printer","R. Cameron","Sch. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada","IEEE Software","","1988","5","6","61","67","","","","10.1109/52.10004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10004","","Printers;Printing;Reactive power;Algorithms","programming environments;utility programs","programming environments;abstract pretty printer;low-level printing;pretty-printing utilities","","5","","","","","","IEEE","IEEE Conferences"
"A full-screen facility for defining relational and entity-relationship database schemas","G. Sockut; A. Malhotra","IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA; IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA","IEEE Software","","1988","5","6","68","78","","","","10.1109/52.10005","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10005","","Relational databases;Data models;Database systems;Indexes;Interactive systems;Buildings;Displays;Feedback;Computer errors;Protection","interactive systems;relational databases;user interfaces","relational database;user interfaces;database schema definition;full-screen facility;entity-relationship database;interactive facility;mainframe database;Dbdefs","","3","","","","","","IEEE","IEEE Conferences"
"Human factors-recipe for a usability test","K. Potosnak","","IEEE Software","","1988","5","6","83","84","","","","10.1109/52.10008","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10008","","Usability;System testing;Software testing;Human factors;Particle measurements;Guidelines;Software measurement;Anthropometry;Design engineering;Software design","program testing;user interfaces","user interfaces;program testing;human factors;usability test;real users;real tasks;real products","","","","","","","","IEEE","IEEE Conferences"
"KBRA: A new paradigm for requirements engineering","A. Czuchry; D. Harris","Sanders Associates Inc., Merrimack, NH, USA; Sanders Associates Inc., Merrimack, NH, USA","IEEE Expert","","1988","3","4","21","24","","","","10.1109/64.10017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10017","","Radar tracking;Aircraft;Hardware;Displays;Programming profession;Formal specifications;Software systems;Engineering management;Knowledge engineering;Problem-solving","formal specification;knowledge based systems;knowledge representation;software engineering;software reusability","reuse;KBRA;requirements engineering;knowledge-based requirements assistant;knowledge-based software assistant;life-cycle paradigm;software development;active reasoning agents;developing software;knowledge-representation;requirements acquisition;presentations;structured text;evolving system description;artificial intelligence techniques;consistent reasoning processes;intelligent assistant;inheritance;generic object types;automatic classification;discriminators;constraint propagation;requirements decisions;retraction","","26","","","","","","IEEE","IEEE Conferences"
"A tool to coordinate tools","R. Bisiani; F. Lecouat; V. Ambriola","Dept. of Comput. Sci., Carnegie-Mellon Univ., Pittsburgh, PA, USA; Dept. of Comput. Sci., Carnegie-Mellon Univ., Pittsburgh, PA, USA; Dept. of Comput. Sci., Carnegie-Mellon Univ., Pittsburgh, PA, USA","IEEE Software","","1988","5","6","17","25","","","","10.1109/52.10000","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10000","","Software tools;Databases;Software testing;System testing;Software systems;Debugging;Error correction;Data engineering;Data structures;Monitoring","database management systems;expert systems;programming environments;software tools","programming environments;planning tool;expert-system planner;software development;Unix","","5","","","","","","IEEE","IEEE Conferences"
"Intelligent support for specifications transformation","J. Tsai; J. Ridge","Dept. of Electr. Eng. & Comput. Sci., Illinois Univ., Chicago, IL, USA; Dept. of Electr. Eng. & Comput. Sci., Illinois Univ., Chicago, IL, USA","IEEE Software","","1988","5","6","28","35","","","","10.1109/52.10001","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10001","","Expert systems;Engines;Software systems;Design methodology;Guidelines;Software performance;Decision making;Software design;Workstations;Computer aided software engineering","expert systems;formal specification;inference mechanisms;software tools","specifications transformation;expert system;Specification-Transformation Expert System;STES;requirements specifications;design specifications;software life cycle;dataflow diagrams;knowledge base;inference engine;heuristic guidelines;intelligent decision-making;OPS5;VAX11/780;Apollo DN 3000;CASE tool","","17","","","","","","IEEE","IEEE Conferences"
"Critiquing software specifications","S. Fickas; P. Nagarajan","Dept. of Comput. Sci., Oregon Univ., Eugene, OR, USA; ","IEEE Software","","1988","5","6","37","47","","","","10.1109/52.10002","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10002","","Software systems;Guidelines;Formal specifications;Humans;Buildings;Terminology;Production systems","expert systems;formal specification;program debugging;programming environments","expert-systems;specification debugging;Kate;problem specification;library database","","41","","","","","","IEEE","IEEE Conferences"
"Adding data abstraction to Fortran software","K. Miller; L. Morell; F. Stevens","Dept. of Comput. Sci., Coll. of William & Mary, Williamsburg, VA, USA; Dept. of Comput. Sci., Coll. of William & Mary, Williamsburg, VA, USA; Dept. of Comput. Sci., Coll. of William & Mary, Williamsburg, VA, USA","IEEE Software","","1988","5","6","50","58","","","","10.1109/52.10003","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10003","","Data structures;Encapsulation;Packaging;Programming profession;Educational institutions;Software libraries;Mathematical programming;Computer languages;Data systems;Algorithms","data structures;FORTRAN;software reusability;software tools","software reusability;software tools;Fortran Abstract Data;structured reuse;Fortran-callable software;data abstraction;information hiding;abstract data type","","3","","","","","","IEEE","IEEE Conferences"
"An abstract pretty printer","R. Cameron","Sch. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada","IEEE Software","","1988","5","6","61","67","","","","10.1109/52.10004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10004","","Printers;Printing;Reactive power;Algorithms","programming environments;utility programs","programming environments;abstract pretty printer;low-level printing;pretty-printing utilities","","5","","","","","","IEEE","IEEE Conferences"
"A full-screen facility for defining relational and entity-relationship database schemas","G. Sockut; A. Malhotra","IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA; IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA","IEEE Software","","1988","5","6","68","78","","","","10.1109/52.10005","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10005","","Relational databases;Data models;Database systems;Indexes;Interactive systems;Buildings;Displays;Feedback;Computer errors;Protection","interactive systems;relational databases;user interfaces","relational database;user interfaces;database schema definition;full-screen facility;entity-relationship database;interactive facility;mainframe database;Dbdefs","","3","","","","","","IEEE","IEEE Conferences"
"Human factors-recipe for a usability test","K. Potosnak","","IEEE Software","","1988","5","6","83","84","","","","10.1109/52.10008","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10008","","Usability;System testing;Software testing;Human factors;Particle measurements;Guidelines;Software measurement;Anthropometry;Design engineering;Software design","program testing;user interfaces","user interfaces;program testing;human factors;usability test;real users;real tasks;real products","","","","","","","","IEEE","IEEE Conferences"
"KBRA: A new paradigm for requirements engineering","A. Czuchry; D. Harris","Sanders Associates Inc., Merrimack, NH, USA; Sanders Associates Inc., Merrimack, NH, USA","IEEE Expert","","1988","3","4","21","24","","","","10.1109/64.10017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10017","","Radar tracking;Aircraft;Hardware;Displays;Programming profession;Formal specifications;Software systems;Engineering management;Knowledge engineering;Problem-solving","formal specification;knowledge based systems;knowledge representation;software engineering;software reusability","reuse;KBRA;requirements engineering;knowledge-based requirements assistant;knowledge-based software assistant;life-cycle paradigm;software development;active reasoning agents;developing software;knowledge-representation;requirements acquisition;presentations;structured text;evolving system description;artificial intelligence techniques;consistent reasoning processes;intelligent assistant;inheritance;generic object types;automatic classification;discriminators;constraint propagation;requirements decisions;retraction","","26","","","","","","IEEE","IEEE Conferences"
"Interactive problem solving using task configuration and control","E. Kant","Schlumberger-Doll Res., Ridgefield, CT, USA","IEEE Expert","","1988","3","4","36","49","","","","10.1109/64.10018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10018","","Problem-solving;Automatic control;History;Control systems;Computer languages;Humans;Knowledge based systems;Object oriented modeling;User interfaces;Expert systems","automatic programming;knowledge based systems","graphical display;task configuration;computer support;data interpretation;interactive problem-solving;Config;task representation;automatic programming;control flows;module configurations;histories","","2","","","","","","IEEE","IEEE Conferences"
"RPL: An expert system language with query power","L. Delcambre","Southwestern Louisiana Univ., Lafayette, LA, USA","IEEE Expert","","1988","3","4","51","61","","","","10.1109/64.10020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10020","","Expert systems;Production systems;Relational databases;Database systems;Database languages;Intelligent systems;Memory;Query processing;Optimized production technology;Technology management","expert systems;high level languages;query languages;relational databases","RPL;expert system language;query power;relational production language;expert database systems;system architecture;two-level database hierarchy;RPL interpreter;memory-resident relational database;data staging","","9","","","","","","IEEE","IEEE Conferences"
"Baseband emulators for the protocol testing of multimedia communication networks","D. Wolfe","SRI Int., Menlo Park, CA, USA","IEEE Network","","1988","2","6","8","14","","","","10.1109/65.10025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10025","","Baseband;Protocols;Testing;Multimedia communication;Communication networks;Switches;Computational modeling;Radio frequency;Computer networks;Emulation","computer networks;protocols","protocol testing;multimedia communication networks;protocols;computer communications;Multi-Media Link Emulation;packet switch;physical link layer;seven-event fault set","","1","","","","","","IEEE","IEEE Conferences"
"Verification/validation of performance simulation using ANSI X3.102 measurements","M. Hidalgo; W. Kelly; T. Washburn","Martin Marietta, Denver, CO, USA; Martin Marietta, Denver, CO, USA; Martin Marietta, Denver, CO, USA","IEEE Network","","1988","2","6","15","16","","","","10.1109/65.10026","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10026","","Switches;Prototypes;Delay;Predictive models;ANSI standards;Discrete event simulation;Simultaneous localization and mapping;Laboratories;Multiplexing","computer networks;standards","performance simulation;ANSI X3.102 measurements;computer networks;SLAM II","","1","","","","","","IEEE","IEEE Conferences"
"Heuristic layout algorithms for network management presentation services","G. Kar; B. Madden; R. Gilbert","IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA; IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA; IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA","IEEE Network","","1988","2","6","29","36","","","","10.1109/65.10027","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10027","","Heuristic algorithms;Computer network management;Computer networks;Complex networks;Clustering algorithms;Environmental management;Intelligent networks;Workstations;Hardware;Acceleration","computer networks","network management presentation services;computer network;undirected graphs;heuristic clustering;multiphase placement algorithm","","17","","","","","","IEEE","IEEE Conferences"
"Emerging broadband packet-switch technology in integrated information networks","J. Kohli; D. Biring; G. Raya","; ; ","IEEE Network","","1988","2","6","37","38","","","","10.1109/65.10028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10028","","Intelligent networks;HDTV;LAN interconnection;Costs;ISDN;Circuits;Bit rate;Multimedia communication;Broadband communication;Optical packet switching","broadband networks;packet switching","broadband packet-switch;integrated information networks;bandwidth;burstiness;calling-rate characteristics;communication services;multimedia interactive services;network topology;logical network architecture","","7","","","","","","IEEE","IEEE Conferences"
"AI applications in distributed system design issues","B. Thuraisingham; J. Larson","Honeywell, Golden Valley, MN, USA; Honeywell, Golden Valley, MN, USA","IEEE Network","","1988","2","6","52","60","","","","10.1109/65.10029","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10029","","Artificial intelligence;Security;Operating systems;User interfaces;Local area networks;Distributed processing;Hardware;Expert systems;Information resources;Kernel","artificial intelligence;distributed processing;local area networks;object-oriented programming;security of data;user interfaces","AI;distributed system design;local area networking;distributed processing;artificial intelligence;front-end subsystem;user interface management;interconnection;security","","1","","","","","","IEEE","IEEE Conferences"
"Seventh Annual International Phoenix Conference on Computers and Communications. 1988 Conference Proceedings (Cat. No.TH0188-3)","","","Seventh Annual International Phoenix Conference on Computers an Communications. 1988 Conference Proceedings","","1988","","","0_1","","","","","10.1109/PCCC.1988.10033","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10033","","","computer architecture;computer networks;computer software;data communication systems;digital computers;distributed processing","computer communications;architecture;array processors;fault-tolerant design;operating systems;object-oriented technology;graphic techniques;tools;local area network protocols;modeling;simulation;distributed processing;ISDN;voice/data networks;expert systems;natural language understanding;artificial intelligence;image processing","","","","","","","","IEEE","IEEE Conferences"
"Design of an efficient unification processor","P. Biswas; D. Yun; Y. Xu","Dept. of Comput. Sci. & Eng., Southern Methodist Univ., Dallas, TX, USA; Dept. of Comput. Sci. & Eng., Southern Methodist Univ., Dallas, TX, USA; Dept. of Comput. Sci. & Eng., Southern Methodist Univ., Dallas, TX, USA","Seventh Annual International Phoenix Conference on Computers an Communications. 1988 Conference Proceedings","","1988","","","4","13","","","","10.1109/PCCC.1988.10034","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10034","","Hardware;Artificial intelligence;Computer architecture;Microprogramming;Algorithm design and analysis;Computer science;Coprocessors;Application software;Laboratories;Throughput","artificial intelligence;content-addressable storage;logic programming;parallel architectures;symbol manipulation","linear parallel substitution unification algorithm;distributed processing;unification processor;architecture;parallel search;associative techniques;coprocessor;closely-coupled multiprocessing environment","","","","","","","","IEEE","IEEE Conferences"
"An O(log n) VLSI implementation of a parallel sorting algorithm","S. Dey; P. Srimani","Dept. of Comput. Sci., Southern Illinois Univ., Carbondale, IL, USA; Dept. of Comput. Sci., Southern Illinois Univ., Carbondale, IL, USA","Seventh Annual International Phoenix Conference on Computers an Communications. 1988 Conference Proceedings","","1988","","","14","18","","","","10.1109/PCCC.1988.10036","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10036","","Very large scale integration;Sorting;Parallel algorithms;Hardware;Algorithm design and analysis;Computer science;Computational modeling;Concurrent computing;Data communication;Merging","computational complexity;parallel algorithms;parallel architectures;sorting;VLSI","communication complexity;processor complexity;VLSI implementation;parallel sorting algorithm;time complexity;SIMD mesh-connected array;hardware algorithm","","","","","","","","IEEE","IEEE Conferences"
"A neuromorphic approach to adaptive digital circuitry","M. Walker; L. Akers","Center for Solid State Electron. Res., Arizona State Univ., Tempe, AZ, USA; Center for Solid State Electron. Res., Arizona State Univ., Tempe, AZ, USA","Seventh Annual International Phoenix Conference on Computers an Communications. 1988 Conference Proceedings","","1988","","","19","23","","","","10.1109/PCCC.1988.10037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10037","","Neuromorphics;Digital circuits;Multilayer perceptrons;Error correction;Very large scale integration;Fabrication;Circuit simulation;Cellular networks;Network topology;Circuit topology","adaptive systems;cellular arrays;digital circuits;error correction;learning systems;least squares approximations;neural nets;parallel architectures;VLSI","neuromorphic architecture;brain-like architecture;learning;adaptive digital circuit;two-layered perceptron;least-mean-square error correction;VLSI fabrication;cellular topology;fault tolerance;neural networks","","5","","","","","","IEEE","IEEE Conferences"
"Multicast in hypercube multiprocessors","Y. Lan; A. Esfahanian; L. Ni","Dept. of Comput. Sci., Michigan State Univ., East Lansing, MI, USA; Dept. of Comput. Sci., Michigan State Univ., East Lansing, MI, USA; Dept. of Comput. Sci., Michigan State Univ., East Lansing, MI, USA","Seventh Annual International Phoenix Conference on Computers an Communications. 1988 Conference Proceedings","","1988","","","26","30","","","","10.1109/PCCC.1988.10038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10038","","Hypercubes;Routing;Multicast algorithms;Broadcasting;Multicast communication;Computer science;Gold;Parallel algorithms;Greedy algorithms;Hamming distance","computational complexity;graph theory;heuristic programming;minimisation;parallel architectures","multicast communications;one-to-many communications;simulation;distributed multicast message routing;NP-hard problem;hypercube multiprocessors;data-parallel algorithms;traffic;graph-theoretical problem;heuristic greedy multicast algorithm;minimized message delivery time","","16","","","","","","IEEE","IEEE Conferences"
"Partitioning techniques for large-grained parallelism","R. Agrawal; H. Jagadish","AT&T Bell Labs., Murray Hill, NJ, USA; AT&T Bell Labs., Murray Hill, NJ, USA","Seventh Annual International Phoenix Conference on Computers an Communications. 1988 Conference Proceedings","","1988","","","31","38","","","","10.1109/PCCC.1988.10039","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10039","","Parallel processing;Partitioning algorithms;Computer networks;Workstations;Costs;Concurrent computing;Context;Yarn;Application software;Computational efficiency","computation theory;parallel processing;performance evaluation;scheduling","communications overhead;workstation networks;large-grained parallelism;parallel processing;loosely coupled multiprocessing environments;optimal partition","","","","","","","","IEEE","IEEE Conferences"
"Synthesis of heterogeneous systolic arrays","C. Mongenet; G. Perrin","CRIN, Vandoeuvre-les-Nanacy, France; CRIN, Vandoeuvre-les-Nanacy, France","Seventh Annual International Phoenix Conference on Computers an Communications. 1988 Conference Proceedings","","1988","","","39","44","","","","10.1109/PCCC.1988.10040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10040","","Systolic arrays;Matrix decomposition;Vectors;Difference equations;Concurrent computing;Computer architecture;Very large scale integration;Design methodology;Content addressable storage;Channel hot electron injection","CAD;cellular arrays;matrix algebra;parallel architectures","heterogeneous systolic array synthesis;software package;SYSTOL;recurrence equations;triangular system resolution;LU matrix decomposition","","","","","","","","IEEE","IEEE Conferences"
"Simulating communication I/O bottleneck in the partition of VLSI array processors","Y. Leung","Dept. of Electr. Eng., Texas A&M Univ., College Station, TX, USA","Seventh Annual International Phoenix Conference on Computers an Communications. 1988 Conference Proceedings","","1988","","","45","49","","","","10.1109/PCCC.1988.10041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10041","","Very large scale integration;Bismuth;Analytical models;Systolic arrays;Concurrent computing;Circuits;Bandwidth;Process design;Computer architecture;Signal processing","cellular arrays;digital simulation;microprocessor chips;parallel architectures;VLSI","I/O bottleneck simulation;VLSI array processor partitioning;communications bottlenecks;physical decomposition;I/O bandwidth;parallel processors;chipwise partitioning;tessellated arrays;I/O pin limitation","","","","","","","","IEEE","IEEE Conferences"
"VLSI designs for redundant binary-coded decimal addition","B. Shirazi; D. Yun; C. Zhang","Dept. of Comput. Sci. & Eng., Southern Methodist Univ., Dallas, TX, USA; Dept. of Comput. Sci. & Eng., Southern Methodist Univ., Dallas, TX, USA; Dept. of Comput. Sci. & Eng., Southern Methodist Univ., Dallas, TX, USA","Seventh Annual International Phoenix Conference on Computers an Communications. 1988 Conference Proceedings","","1988","","","52","56","","","","10.1109/PCCC.1988.10042","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10042","","Very large scale integration;Hardware;Arithmetic;Propagation delay;Algorithm design and analysis;Space technology;Computer science;Added delay;Humans;Application software","adders;computational complexity;digital arithmetic;fault tolerant computing;redundancy;VLSI","constant addition delay;VLSI time complexity;VLSI space complexity;fault tolerance;VLSI designs;redundant binary-coded decimal addition;RBCD adder;PLAs;binary adders","","5","","","","","","IEEE","IEEE Conferences"
