"TASED-Net: Temporally-Aggregating Spatial Encoder-Decoder Network for Video Saliency Detection","K. Min; J. Corso","University of Michigan; University of Michigan","2019 IEEE/CVF International Conference on Computer Vision (ICCV)","","2019","","","2394","2403","","","","10.1109/ICCV.2019.00248","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010000","","Feature extraction;Three-dimensional displays;Saliency detection;Decoding;Spatiotemporal phenomena;Two dimensional displays;Convolution","","","","","","","","","","IEEE","IEEE Conferences"
"P-MVSNet: Learning Patch-Wise Matching Confidence Aggregation for Multi-View Stereo","K. Luo; T. Guan; L. Ju; H. Huang; Y. Luo","Huazhong University of Science and Technology; Huazhong University of Science and Technology; University of South Carolina; Farsee2 Science and Technology Ltd; University of Technology Sydney","2019 IEEE/CVF International Conference on Computer Vision (ICCV)","","2019","","","10451","10460","","","","10.1109/ICCV.2019.01055","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010001","","Three-dimensional displays;Kernel;Feature extraction;Image reconstruction;Surface reconstruction;Aggregates;Surface texture","","","","1","","","","","","IEEE","IEEE Conferences"
"KPConv: Flexible and Deformable Convolution for Point Clouds","H. Thomas; C. R. Qi; J. Deschaud; B. Marcotegui; F. Goulette; L. Guibas","Mines ParisTech. PSL Research University; Facebook AI Research; MINES ParisTech; MINES ParisTech; MINES ParisTech; Stanford University","2019 IEEE/CVF International Conference on Computer Vision (ICCV)","","2019","","","6410","6419","","","","10.1109/ICCV.2019.00651","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010002","","Kernel;Convolution;Three-dimensional displays;Correlation;Robustness;Two dimensional displays;Geometry","","","","","","","","","","IEEE","IEEE Conferences"
"Multi-Adversarial Faster-RCNN for Unrestricted Object Detection","Z. He; L. Zhang","Chongqing University; Chongqing University","2019 IEEE/CVF International Conference on Computer Vision (ICCV)","","2019","","","6667","6676","","","","10.1109/ICCV.2019.00677","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010003","","Feature extraction;Detectors;Proposals;Object detection;Task analysis;Convolution;Training","","","","","","","","","","IEEE","IEEE Conferences"
"Symmetric Graph Convolutional Autoencoder for Unsupervised Graph Representation Learning","J. Park; M. Lee; H. J. Chang; K. Lee; J. Y. Choi","Seoul National University; Hanyang University; University of Birmingham; Seoul National University; Seoul National University","2019 IEEE/CVF International Conference on Computer Vision (ICCV)","","2019","","","6518","6527","","","","10.1109/ICCV.2019.00662","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010004","","Laplace equations;Decoding;Smoothing methods;Chebyshev approximation;Image reconstruction;Convolution;Task analysis","","","","","","","","","","IEEE","IEEE Conferences"
"USIP: Unsupervised Stable Interest Point Detection From 3D Point Clouds","J. Li; G. H. Lee","National University of Singapore; National University of Singapore","2019 IEEE/CVF International Conference on Computer Vision (ICCV)","","2019","","","361","370","","","","10.1109/ICCV.2019.00045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010005","","Three-dimensional displays;Detectors;Training;Proposals;Probabilistic logic;Uncertainty;Solid modeling","","","","","","","","","","IEEE","IEEE Conferences"
"EvalNorm: Estimating Batch Normalization Statistics for Evaluation","S. Singh; A. Shrivastava","Google; University of Maryland","2019 IEEE/CVF International Conference on Computer Vision (ICCV)","","2019","","","3632","3640","","","","10.1109/ICCV.2019.00373","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010006","","Training;Computational modeling;Estimation;Object detection;Standards;Computer vision;Google","","","","","","","","","","IEEE","IEEE Conferences"
"Spatio-Temporal Filter Adaptive Network for Video Deblurring","S. Zhou; J. Zhang; J. Pan; W. Zuo; H. Xie; J. Ren","Nanyang Technological University; Sensetime Research; Nanjing University of Science and Technology; Harbin Institute of Technology. China; Harbin Institute of Technology; SenseTime Research","2019 IEEE/CVF International Conference on Computer Vision (ICCV)","","2019","","","2482","2491","","","","10.1109/ICCV.2019.00257","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010007","","Kernel;Optical imaging;Image restoration;Optical filters;Adaptive systems;Task analysis;Feature extraction","","","","","","","","","","IEEE","IEEE Conferences"
"G3raphGround: Graph-Based Language Grounding","M. Bajaj; L. Wang; L. Sigal","University of British Columbia; Huawei Technologies Canada Co. Ltd.; University of British Columbia","2019 IEEE/CVF International Conference on Computer Vision (ICCV)","","2019","","","4280","4289","","","","10.1109/ICCV.2019.00438","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010008","","Grounding;Visualization;Neural networks;Proposals;Task analysis;Logic gates;Encoding","","","","","","","","","","IEEE","IEEE Conferences"
"Transductive Episodic-Wise Adaptive Metric for Few-Shot Learning","L. Qiao; Y. Shi; J. Li; Y. Tian; T. Huang; Y. Wang","Peking University; Peking University; Beihang University; PKU; Peking University; Beijing Institute of Technology","2019 IEEE/CVF International Conference on Computer Vision (ICCV)","","2019","","","3602","3611","","","","10.1109/ICCV.2019.00370","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010009","","Task analysis;Training;Feature extraction;Extraterrestrial measurements;Adaptation models;Prototypes","","","","","","","","","","IEEE","IEEE Conferences"
"Bottleneck Potentials in Markov Random Fields","A. Abbas; P. Swoboda","MPI-INF; MPI fuer Informatik. Saarbruecken","2019 IEEE/CVF International Conference on Computer Vision (ICCV)","","2019","","","3174","3183","","","","10.1109/ICCV.2019.00327","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010010","","Labeling;Optimization;Markov random fields;Inference algorithms;Heuristic algorithms;Inverse problems;Image segmentation","","","","","","","","","","IEEE","IEEE Conferences"
"Deep Clustering by Gaussian Mixture Variational Autoencoders With Graph Embedding","L. Yang; N. Cheung; J. Li; J. Fang","University of Electronic Science and Technology of China; Singapore University of Technology and Design; Singapore University of Technology and Design; SUTD; University of Electronic Science and Technology of China","2019 IEEE/CVF International Conference on Computer Vision (ICCV)","","2019","","","6439","6448","","","","10.1109/ICCV.2019.00654","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010011","","Training;Data models;Neural networks;Clustering methods;Machine learning;Gaussian mixture model","","","","","","","","","","IEEE","IEEE Conferences"
"Few-Shot Image Recognition With Knowledge Transfer","Z. Peng; Z. Li; J. Zhang; Y. Li; G. Qi; J. Tang","Nanjing University of Science and Technology; Nanjing University of Science and Technology; CASIA; Institute of Automation. Chinese Academy of Sciences; Futurewei Technologies; Nanjing University of Science and Technology","2019 IEEE/CVF International Conference on Computer Vision (ICCV)","","2019","","","441","449","","","","10.1109/ICCV.2019.00053","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010012","","Visualization;Knowledge engineering;Measurement;Training;Image recognition;Knowledge transfer;Testing","","","","","","","","","","IEEE","IEEE Conferences"
"Learnable Triangulation of Human Pose","K. Iskakov; E. Burkov; V. Lempitsky; Y. Malkov","Samsung; Samsung AI Center Moscow; Samsung; Samsung AI Center Moscow","2019 IEEE/CVF International Conference on Computer Vision (ICCV)","","2019","","","7717","7726","","","","10.1109/ICCV.2019.00781","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010013","","Three-dimensional displays;Two dimensional displays;Heating systems;Pose estimation;Cameras;Convolutional neural networks;Detectors","","","","","","","","","","IEEE","IEEE Conferences"
"GradNet: Gradient-Guided Network for Visual Object Tracking","P. Li; B. Chen; W. Ouyang; D. Wang; X. Yang; H. Lu","Dalian University of Technology; Dalian University of Technology; The University of Sydney; Dalian University of Technology; China Science IntelliCloud Technology Co.. Ltd; Dalian University of Technology","2019 IEEE/CVF International Conference on Computer Vision (ICCV)","","2019","","","6161","6170","","","","10.1109/ICCV.2019.00626","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010014","","Target tracking;Training;Feature extraction;Visualization;Optimization;Clutter;Real-time systems","","","","1","","","","","","IEEE","IEEE Conferences"
